1. okex ->bithumb
                   to1                     | date_count | 转币次数 |  max_date  |  min_date  |  amount  |  cnt  
 0x8f5357a2359ad4db3fed398235de2e040f9fdd8b |         35 |      125 | 2019-06-11 | 2018-09-17 |  1758.72 |   452
 0x0000b446bc8b47be5ef8d5ea8964508130e77ce0 |         33 |       50 | 2019-04-03 | 2018-08-14 |   979.01 |  1010
 0x0549986777328f88fcf37e5954310f4f31c8f324 |         33 |       39 | 2021-03-08 | 2019-06-19 |  2883.99 | 13548
 0x960d1beef87f5ede5464a817c9fbcfb3ed7d59ed |         31 |       93 | 2018-12-20 | 2018-10-24 |  2109.27 |   223
 0x4d494d313af61af6fae7eded02b1cbdad06f594f |         30 |       36 | 2018-06-24 | 2018-01-20 |  10269.2 |   114
 0x32a88f27cf6b9fd109191e498208da2c1ad5389a |         30 |      132 | 2018-06-27 | 2017-08-09 |  6956.75 |   36
 
 
 2. okex -> upbit
                     to1                     | date_count | 转币次数 |  max_date  |  min_date  |  amount   |  cnt   
--------------------------------------------+------------+----------+------------+------------+-----------+--------
 0x11817afb29279703c5679959417015328ca6a0d1 |        256 |     1939 | 2020-04-24 | 2019-01-07 | 2.443e+06 | 320047
 0xcb2742d0b23099cd8a483c20114501594e5595f4 |         97 |      275 | 2019-07-08 | 2018-07-17 |   37358.2 |   2206
 0x31d32ddb237b9b8ec893b0ac529e36a48af21955 |         95 |      220 | 2019-11-27 | 2018-12-28 |   41387.5 |   1138
 0x396bcf4a2c38c7aa5e9790e47c7f9844b8f0a60d |         94 |      205 | 2019-11-26 | 2019-04-19 |   39116.1 |    568
 0xb15984f524cf03a3fbb7c874245045645c28fc3d |         89 |      120 | 2019-10-23 | 2018-07-23 |   76246.5 |    450
 0x399ffb0e95e16984f4bb54b9ace6498a5fc91d10 |         81 |      127 | 2019-11-27 | 2018-07-18 |   11223.7 |   2659
 0xe50c5205da1880afe520becaaec3964ce44f55f7 |         71 |      151 | 2019-11-26 | 2019-05-23 |   27757.2 |    407
 0xd53d20eba9aa3679d4dd0219ec4cffb4b2368926 |         69 |      164 | 2019-08-22 | 2019-04-02 |   30237.4 |    463
 0xc6776d2cc3f8d338f9d31fb805c4c7f806ecc38d |         63 |       91 | 2019-11-23 | 2019-07-02 |   9095.88 |    750
 0x95ba4d6788f3ae4df22bf7bf7c292eaf1eba741c |         53 |      143 | 2019-08-29 | 2019-04-16 |   17758.1 |    262
 0x796d41eeb2a12668fd6330edaf81a34365f94e96 |         52 |       97 | 2019-11-27 | 2018-12-24 |   16900.7 |   1198
 0xa39882300552eb5ae793b21a8522e194ab040f1b |         50 |       72 | 2018-12-14 | 2018-07-16 |   34071.1 |    280
 0x23c98c5e42bf981f3ebe9739839906714630c83f |         49 |      137 | 2019-11-25 | 2019-04-08 |   24653.7 |    397
 0x571aa42b6101098d7685da7c356e5e9d439a2b45 |         48 |       65 | 2019-11-11 | 2018-07-17 |   47908.6 |    477
 0x1d62019bfa679923404c78eebd33eef2c5f37039 |         47 |       88 | 2019-07-15 | 2018-07-19 |   2932.16 |    191
 0xe400a3020433fc4dab4331025c166f702a47a49c |         46 |       62 | 2019-11-06 | 2018-07-20 |   352.602 |    408
 0x4c6aa3d7b6137d7efa880dcf6dbcf6395091f3ff |         45 |       55 | 2019-11-05 | 2018-07-18 |   43989.6 |    466
 0x9664d98b91381af7910e673c5983f83c46865dec |         45 |       56 | 2019-07-17 | 2018-07-23 |     40249 |    479
 0x1df37fa14ef445f26ef2840e5b707dd2b050c94a |         45 |       80 | 2019-06-07 | 2018-08-08 |   605.867 |    202
 0x050a9cdb3df822e27ae1dd08444ff1fb64a5ee64 |         42 |       56 | 2019-11-20 | 2018-07-23 |   1047.71 |    250
 0x5aeea6e45419f313d210810970098d66a3637da8 |         38 |       58 | 2019-11-26 | 2019-04-13 |   476.606 |    294
 0xd68ecd78e18b1024a002716e0116a0699571a6c0 |         37 |       74 | 2019-11-27 | 2018-08-08 |   19020.4 |    380
 0x27af87f6017190d4733617af5e30b44f140f247c |         35 |       65 | 2019-11-27 | 2019-07-11 |   12312.9 |    252
 0xf8a26825b3dec8c02f600bd7cd2017101b5c1ebe |         35 |      143 | 2018-05-15 | 2017-12-20 |   1309.63 |    245
 0x6ead2f3ac3a16132d6d99670809b98477f0a47de |         35 |       57 | 2020-03-16 | 2018-07-17 |   946.049 |    441
 0x3f332a6a2573e66d5fb9f4b69c21f9121d1f8297 |         35 |       43 | 2019-06-04 | 2018-12-28 |   777.815 |     95
 0xf3ca10f8be8fc97993c3463f13225ff8cd4da93c |         30 |       59 | 2019-11-25 | 2019-03-27 |   2733.83 |    632
 
 
 3. huobi -> bithumb
                     to1                     | date_count | 转币次数 |  max_date  |  min_date  |  amount   |   cnt   
--------------------------------------------+------------+----------+------------+------------+-----------+---------
 0x3e8335bd17612706f0fd6993339c5af204071d10 |        156 |      376 | 2021-03-08 | 2020-04-02 |   76294.5 |    2097
 0x29ba8be4ed77d1966e2ac3ca85548d257de84e57 |        149 |      736 | 2019-06-12 | 2018-08-07 |     93816 |    4484
 0xd117d999a71d4db9b26a6ad777fa0f8c71520608 |        148 |      587 | 2019-05-31 | 2018-09-27 |   18585.7 |    1046
 0x007b8eb47956bc6e92f35647132280382d897c46 |        134 |      706 | 2021-02-26 | 2019-06-14 |   65875.8 |   11994
 0xfd348d6397cd09ab0cea6e8ebe3cb42782cb8b13 |        124 |      513 | 2019-06-12 | 2018-12-25 |     25833 |    3395
 0x7a5dab390f4661d763eb093bcfe94faad993adb7 |        104 |      318 | 2019-06-14 | 2018-08-05 |     28791 |    2457
 0x2b6bb491bb557bf083deab6e9f737b4986d5adbc |         84 |      693 | 2021-03-08 | 2020-03-13 |     38499 |    1323
 0x007d89690f5626b5b0f41a6a7a07e579ee363181 |         81 |      217 | 2021-03-09 | 2019-06-14 |      7743 |   12699
 0x872226b7dfabf40ced6ea86ea8d78dfaa212d996 |         81 |      304 | 2019-06-10 | 2019-01-19 |     24400 |    1448
 0x001d395a144cc31a6cf0d00372a65b79e64463b2 |         79 |      152 | 2020-06-03 | 2019-06-16 |   5320.37 |    1708
 0x8804f31694e563ff9991a1c0a1da53fe4fdfeee9 |         74 |      291 | 2019-04-18 | 2018-08-04 |   18339.9 |    1054
 0x12d34d7a2a7e0d84811aa98ef950d8a55224c3e7 |         71 |      211 | 2019-06-12 | 2018-08-18 |   29176.2 |     937
 0x37adf59496197928cfd2321f59b02a0f3988b277 |         69 |      312 | 2019-01-16 | 2018-08-04 |   44558.2 |    1409
 0x000e20a2eefa97815f3f5057fcd8920acf1ae0de |         68 |      238 | 2021-03-08 | 2019-06-14 |   36532.3 |   13196
 0x3a284ab451eb5b6d070451fdb06880ceaffc089d |         64 |      117 | 2019-03-29 | 2018-09-23 |    7831.9 |    1818
 0x0549986777328f88fcf37e5954310f4f31c8f324 |         64 |       79 | 2021-03-08 | 2019-06-19 |   7667.97 |   13548
 0xd0af9cd3e881cf79d5033f86704e3080e901044c |         62 |      205 | 2019-04-17 | 2019-01-08 |   44932.2 |    1390
 0x96b64a540232db11993d2325dd5899f7d335f147 |         61 |       93 | 2019-11-14 | 2018-11-19 |   4640.83 |    1089
 0xb7543c114d6d29268b1c98933ea2f19eb00c5ad5 |         57 |      163 | 2019-05-06 | 2018-08-26 |   1971.21 |    2216
 0x3ccd56b3f428a0e541b1e273ba2f4d4dee086024 |         53 |       94 | 2021-02-22 | 2020-03-21 |   3538.55 |     597
 0x168c20ffa4a502388887516a8b723353dcd085b2 |         50 |       93 | 2021-03-08 | 2019-07-31 |    9794.9 |    3475
 0x0d4de4c978dc27fcffba99a1a7a7881b786c8b63 |         49 |      156 | 2021-03-08 | 2019-06-30 |   3348.34 |     446
 0x3f2ece90aa5260fc82a0578ea22d62ad28afad47 |         47 |       85 | 2021-03-08 | 2020-04-09 |   19191.8 |     706
 0x0ec7a63ac1828dea1cc3966504204e16ea3daeae |         43 |       55 | 2020-06-02 | 2019-07-03 |   2497.27 |     119
 
 
 4. huobi->upbit
                     to1                     | date_count | 转币次数 |  max_date  |  min_date  |  amount   |   cnt   
--------------------------------------------+------------+----------+------------+------------+-----------+---------
 0xaaf574778018fdd972ab22f407ec07093f04b0a4 |        385 |     1827 | 2020-01-23 | 2018-08-29 |    294983 |    9658
 0x07faaafa82a6617f2567c0e3bcec44d0057d3564 |        300 |      878 | 2019-11-27 | 2018-07-17 |   57316.2 |    4171
 0xcac4f842be3488cd87a819f68287bf773f0b3234 |        226 |      823 | 2019-11-26 | 2018-12-14 |     39543 |    3672
 0x3fc624f587e9fdb76e31f6cf763cc414b41470a9 |        155 |      465 | 2019-03-10 | 2018-07-24 |   44546.6 |     950
 0xcb2742d0b23099cd8a483c20114501594e5595f4 |        147 |      420 | 2019-07-08 | 2018-07-17 |   59368.9 |    2206
 0x11f866192ccd4674b05cff589d9ea5023f2c649b |        119 |      477 | 2019-05-21 | 2018-09-07 |   61307.2 |     969
 0xc6776d2cc3f8d338f9d31fb805c4c7f806ecc38d |        108 |      270 | 2019-11-23 | 2019-07-02 |   27093.5 |     750
 0x31d32ddb237b9b8ec893b0ac529e36a48af21955 |        103 |      353 | 2019-11-27 | 2018-12-28 |     52950 |    1138
 0xf3ca10f8be8fc97993c3463f13225ff8cd4da93c |         98 |      250 | 2019-11-25 | 2019-03-27 |     20199 |     632
 0x7fec5b027781e7f57abb92e1b19ebdde8b4199d3 |         96 |      139 | 2020-01-17 | 2019-04-08 |   1927.63 |     285
 0x796d41eeb2a12668fd6330edaf81a34365f94e96 |         93 |      219 | 2019-11-27 | 2018-12-24 |   19110.7 |    1198
 0x034f854b44d28e26386c1bc37ff9b20c6380b00d |         90 |      369 | 2021-01-10 | 2017-09-14 |    942704 |  360232
 0x8af91c913e408c03c1044230e0f0152c295521d8 |         85 |      236 | 2019-06-21 | 2018-11-27 |   5125.26 |     461
 0xc53fc2b9ccbb91547d927f596887461c1853a45b |         80 |      140 | 2019-11-22 | 2018-11-26 |   10218.5 |     443
 0x27e549f6dea1cd8178983cdd3fced4fa2edc27d5 |         79 |      291 | 2018-12-14 | 2018-07-19 |   26200.1 |     647
 0x7b7b59729ef3bbd5c3154a1e56d7199af6f44aee |         70 |      143 | 2019-11-25 | 2019-01-30 |   4219.03 |     308
 0x9f6bd4509dc192766359eb5092e241893429e7ac |         66 |      143 | 2020-01-16 | 2018-09-17 |   5788.96 |     300
 0x5231c53b65cb5b2cf387cf27da0106a2cce48f68 |         63 |      134 | 2019-11-24 | 2019-04-07 |   11910.1 |     310
 0xf6d38f27b1076a3417b16d50d90c2cccaa38f46d |         61 |      155 | 2019-02-27 | 2018-08-06 |   14899.8 |     330
 0x7759ab0792b32f38202eae7397924d91059b29c7 |         58 |      165 | 2019-08-31 | 2018-07-22 |   10666.6 |     371
 0xf795c5cefc548f98946cb96ae37c76a675937f8b |         56 |      143 | 2019-01-10 | 2018-08-02 |   4512.91 |     290
 0x4e597edf75c182dec82059de9e059f78e4716604 |         55 |       83 | 2019-08-08 | 2018-07-17 |   7692.05 |     176
 0xaff4fea7af02dbbc3b398a1ce6baa7c5d45bc770 |         54 |      214 | 2018-11-30 | 2018-09-05 |   22889.6 |     463
 0x9ccc3452ab7299c0a6301f5b47b8d3f41ff3b2f1 |         52 |       77 | 2019-09-06 | 2018-07-20 |   4520.62 |     194
 0x7ffbad7369e08dd9238186824dd939b7b09d3396 |         51 |       64 | 2019-11-15 | 2018-08-10 |   865.573 |     871
 0x8861bd0807aca396fe684f7166b303a2b7c793d2 |         50 |      208 | 2019-06-25 | 2018-08-05 |   10946.5 |     394
 0x76277e145a460e4cc208ff7ad0776d790878e54c |         49 |       49 | 2019-11-20 | 2018-07-16 |   117.724 |     939
 
 
 5. binance -> bithumb
                     to1                     | date_count | 转币次数 |  max_date  |  min_date  |   amount    |   cnt   
--------------------------------------------+------------+----------+------------+------------+-------------+---------
 0x0681d8db095565fe8a346fa0277bffde9c0edbbf |       1028 |     3249 | 2021-03-09 | 2018-01-07 | 2.98552e+07 | 4254613
 0x0084dfd7202e5f5c0c8be83503a492837ca3e95e |        531 |     2902 | 2021-03-06 | 2019-06-21 |      675550 |   65836
 0x000e20a2eefa97815f3f5057fcd8920acf1ae0de |        396 |     1347 | 2021-03-08 | 2019-06-14 |      270206 |   13196
 0x007b8eb47956bc6e92f35647132280382d897c46 |        379 |     1254 | 2021-02-26 | 2019-06-14 |      135188 |   11994
 0x007d89690f5626b5b0f41a6a7a07e579ee363181 |        365 |      952 | 2021-03-09 | 2019-06-14 |     29375.1 |   12699
 0x0090e6471ca6c4fe7ffff328666c58b2c4035b61 |        270 |     1053 | 2020-06-20 | 2019-06-14 |     36436.8 |   13320
 0xd6e1e7385ad23732feb6675b0d6828165a11afbd |        184 |      673 | 2019-06-10 | 2018-08-14 |     10430.9 |    6477
 0x43f746d88396de6547be1df0a2f3fc6c9ebe1fb5 |        180 |      778 | 2021-03-09 | 2020-05-21 |     33572.5 |   22938
 0x29ba8be4ed77d1966e2ac3ca85548d257de84e57 |        166 |      832 | 2019-06-12 | 2018-08-07 |     97681.1 |    4484
 0x00253e4fc8f05d5e100a2a2c703fc82f05593b9c |        160 |      209 | 2020-10-29 | 2019-06-14 |     4638.19 |    6143
 0x20022757ea8a0feaccaf15a1ff7e87916a32d421 |        156 |      669 | 2021-01-18 | 2020-01-31 |     8626.93 |   10720
 0x001d395a144cc31a6cf0d00372a65b79e64463b2 |        136 |      310 | 2020-06-03 | 2019-06-16 |     10264.8 |    1708
 0x99e9fdcc49e8a8aca7e0c2ff3accd563f019cfec |        129 |      762 | 2019-01-14 | 2018-08-15 |      157482 |   10501
 0x002d91c86d026319ba0d159c84ffea03bc00adf9 |        128 |      191 | 2021-03-09 | 2019-06-17 |     53426.5 |   14295
 0x11c5d96ea17d1041dd066139dfdd23f7df146633 |        115 |      868 | 2020-05-29 | 2019-07-13 |     85092.3 |    1941
 0x388cc3c82df96746bb0aa9c8119611d720e0c97d |         95 |       95 | 2021-03-08 | 2020-03-19 |     213.813 |     197
 0x37adf59496197928cfd2321f59b02a0f3988b277 |         85 |      256 | 2019-01-16 | 2018-08-04 |     36260.4 |    1409
 0x7a5dab390f4661d763eb093bcfe94faad993adb7 |         82 |      152 | 2019-06-14 | 2018-08-05 |     11488.8 |    2457
 0x25c6438c610af1a01dd8e5802ee53fa0f7a715ef |         75 |       83 | 2021-03-05 | 2019-11-01 |     651.037 |     224
 0x872226b7dfabf40ced6ea86ea8d78dfaa212d996 |         75 |      192 | 2019-06-10 | 2019-01-19 |     18358.1 |    1448
 0x09afb936bfdf58179b91f8c07fbe8df082145077 |         73 |      130 | 2021-03-05 | 2019-06-26 |     7196.13 |     599
 0x268a6efe34c0357df995fd6a46368834d9ec361d |         71 |      123 | 2020-12-08 | 2019-10-26 |     3785.82 |     285
 0x349627ba8b2db20e9f569e5dde327dbf4339a7da |         71 |      482 | 2019-04-04 | 2019-01-14 |      229496 |   10812
 
 
 6. binance -> upbit
                     to1                     | date_count | 转币次数 |  max_date  |  min_date  |   amount    |   cnt    
--------------------------------------------+------------+----------+------------+------------+-------------+----------
 0x0681d8db095565fe8a346fa0277bffde9c0edbbf |       1028 |     3249 | 2021-03-09 | 2018-01-07 | 2.98552e+07 |  4254613
 0xaaf574778018fdd972ab22f407ec07093f04b0a4 |        377 |     1691 | 2020-01-23 | 2018-08-29 |      267661 |     9658
 0x3bef3ba047ba945ac67c9a2a1afe403935299178 |        317 |     1584 | 2019-11-27 | 2018-08-25 |      125832 |     3064
 0x07faaafa82a6617f2567c0e3bcec44d0057d3564 |        257 |      649 | 2019-11-27 | 2018-07-17 |     37070.1 |     4171
 0x27df33d544d73bef1132a7b09e8e3fee4e957311 |        231 |      643 | 2020-01-16 | 2018-07-17 |     45854.9 |     1268
 0xf115a2ec837f43c8f65c76de2e829c2105e747de |        196 |      252 | 2019-11-27 | 2018-07-18 |     417.303 |     2230
 0x1bd53f6b54c1fd9d3a4342d133bcfc8ec7f284c6 |        189 |      767 | 2019-11-27 | 2019-02-23 |     34637.7 |     1474
 0x7bf1a5d764fe890f3ddf875d4ffb0a332f37bf1e |        186 |     1082 | 2019-11-27 | 2018-10-18 |      270375 |     2830
 0x63555aba9f82c557a99cda40716bfc4db24e14b6 |        185 |      903 | 2019-09-19 | 2018-07-17 |     12353.1 |     1779
 0x31af15e939bfa99a476056545e297369cf61c171 |        164 |      476 | 2019-11-26 | 2018-08-08 |     11837.4 |     1656
 0x899af28074ca44d4e41749c97dab08c2f133f9c5 |        160 |      381 | 2019-09-24 | 2018-08-31 |     76713.1 |      783
 0xcac4f842be3488cd87a819f68287bf773f0b3234 |        155 |      414 | 2019-11-26 | 2018-12-14 |       17315 |     3672
 0x897ae1ca3d62ad578dc4e9eb912e2c1c8e6a46c5 |        151 |      331 | 2019-08-03 | 2018-11-06 |     7144.15 |      649
 0xcb2742d0b23099cd8a483c20114501594e5595f4 |        146 |      329 | 2019-07-08 | 2018-07-17 |     44406.8 |     2206
 0x796d41eeb2a12668fd6330edaf81a34365f94e96 |        112 |      166 | 2019-11-27 | 2018-12-24 |     17977.3 |     1198
 0x399ffb0e95e16984f4bb54b9ace6498a5fc91d10 |        101 |      201 | 2019-11-27 | 2018-07-18 |     24384.9 |     2659
 0x0b63e4ef3741d422fcaad6ac733afa1e306af596 |         97 |      186 | 2019-06-28 | 2018-08-10 |     11092.1 |      491
 0xacdfcee4dc8a8824a2d50ffb4064fa6bb5f425c7 |         78 |      425 | 2019-11-22 | 2019-05-31 |     88853.9 |     1102
 0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be |         78 |     1457 | 2021-03-09 | 2017-08-04 | 2.67224e+06 | 15345036
 0x3974f20da0d7d6f98b5d6b716347d5e2dc182cf6 |         76 |       83 | 2018-07-06 | 2018-02-06 |     127.809 |      167
 0xc33310f127fc5d6fc29b6452ea72ced28982ef3d |         69 |      100 | 2019-11-25 | 2018-07-21 |        3989 |      713
 0x9664d98b91381af7910e673c5983f83c46865dec |         65 |       76 | 2019-07-17 | 2018-07-23 |     57036.7 |      479
